PRODUTO;INGREDIENTE_ATIVO;TIPO;CLASSE_TOXICOLOGICA;TARJA;CLASSE_AMBIENTAL;CONCENTRACAO_IA;ALVO;DOSE_TEXTO;UNIDADE_MEDIDA;CRITERIO_DOSAGEM;VOLUME_MAX_CALDA;NUM_APLICACOES;INTERVALO_DIAS;CARENCIA_DIAS;REENTRADA_DIAS;MRL_EU;MRL_GB;MRL_BRASIL;CONDICAO_TESCO;MEDIDA_TESCO;CULTURA
REDSHIELD 750;ÓXIDO CUPROSO;FUNGICIDA;IV;AZUL;III;860 g/L;- Míldio - Antracnose - Mancha aquosa;0,9 a 1,8 kg\ha - Mildio 120g\100L - Antracnose 100g\100L - Mancha;KG;H;500-1000L/ha;5;7-10;NA;NA;5;5;NA;NA;NA;MELÃO
REVUS;MANDIPROPAMIDA;FUNGICIDA;V;AZUL;IV;250 g\L;- Míldio;400 - 600 ml/ha;LT;H;400 L/ha;4;7;1;1;0,5;0,5;0,1;NA;NA;MELÃO
SCORE;DIFENOCAZOL;FUNGICIDA;V;AZUL;II;250 g/L;- Crestamento-gomoso;30 ml / 100 L;LT;L;200 a 400 L;4;14;10;1;0,2;0,2;0,05;NA;NA;MELÃO
SERENADE;BACILLUS SUBTILIS;FUNGICIDA/BACTERIDA;NC;VERDE;IV;"1017,87
g/L";- Mancha de alternária;1 - 2 L /ha;LT;H;300 a 1000 L;ND;7;NA;1;NA;NA;sem restrição;NA;NA;MELÃO
SIVANTO FUSION;"SPIROMESIFEN +
FLUPYRADIFURONE";INSETICIDA;V;AZUL;II;"120 g/L +
120g/L";- Mosca Branca;0,8 a 1,2 kg/ha;KG;H;300 - 500 L;2;7;14;1;0,3 + 0,01;0,3 + 0,01;0,2 + 0,4;Monitorado;NA;MELÃO
SIVANTO PRIME 200 SL;FLUPYRADIFURONE;INSETICIDA;IV;AZUL;III;200 g/L;- Mosca Branca;- 1,5 a 2,0 L/ha (solo) irrigação - 0,75 a 1,0 L/ha (foliar);LT;H;"- 15 mL/ planta
200 - 500 L/ha";"1 (solo)
3 (foliar)";5;14;1;0,01;0,01;0,4;Monitorado;NA;MELÃO
STIMULATE;"CINETINA
ÁCIDO GIBERÉLICO";REG. CRESCIMENTO;V;AZUL;IV;"0,09 g\L
0,05 g/L";- Regulador de crescimento vegetal;600 - 1000 mL/ha;LT;H;200 L;ND;7;7;1;NA;NA;NA;NA;Na;MELÃO
SUPERA;HIDRÓXIDO DE COBRE;FUNGICIDA;V;AZUL;III;"537,44
g//L";- Míldio;1,5 - 3,0 L/ha;LT;H;1000 L;4-5;7-10;ND;24h;5;5;NA;Monitorado;NA;MELÃO
TAFFETA 200 SP;ACETAMIPRIDO;INSETICIDA;III;AMARELO;II;200 g/kg;- Mosca Branca - Pulgão;250-300 gr/ha;KG;H;1000 L;3;7;14;1;0.2;0.2;0,2;NA;NA;MELÃO
TAURA 200 EC;PIRIPROXIFEN;INSETICIDA;V;AZUL;II;200 g/L;- Mosca branca;37,5 - 50 mL/100 L de água;LT;L;600 - 1000 L/ha;1;ND;14;1;0,07;0,07;0,05;NA;NA;MELÃO
TENAZ 250 SC;FLUTRIAFOL;FUNGICIDA;V;AZUL;III;250 g / L;- Oídio (Sphaerotheca fuliginea);40 - 80 mL/100L;LT;L;1000 L;3;7;10;1;0,3;0,3;0,5;NA;NA;MELÃO
TIGER 100 EC;"PIRIPROXIFEM
XILENO";INSETICIDA;V;AZUL;II;"100g/L
800g\L";- Mosca Branca;75 a 100ml / 100 L;LT;L;600 a 1000L;2;10;14;1;0,07;0,07;0,05 + ND;NA;NA;MELÃO
TRIGARD 750 WP;CIROMAZINA;INSETICIDA;IV;AZUL;III;750 g/kg;- Mosca Minadora;120 g /ha;KG;H;100 A 800 L;ND;7;21;1;0.01;0,4;0,2;NA;NA;MELÃO
TRINITY 250 SC;FLUTRIAFOL;FUNGICIDA;V;AZUL;III;250 g/L;- Oídio;40 - 80 mL/100L;LT;L;1000 L/ha;3;7;10;1;0,3;0,3;0,5;NA;NA;MELÃO
TRIVOR;ACETAMIPRIDO + PIRIPROXIFEM;INSETICIDA;IV;AZUL;I;"186 g/L +
124 g/L";- Mosca Branca - Pulgão;200 - 300 ml /ha;LT;H;400 - 600 L/ha;3;"7-
Mosca
branca
10 -
Pulgão";14;1;0,2 + 0,05;0,2 + 0,05;"0,2 (acet)
0,05 (piri)";NA;NA;MELÃO
UNIX 750 WG;CYPRODINIL;FUNGICIDA;V;AZUL;II;750g\kg;- Oidio;250-750 g\ha;KG;H;400 - 500 L/ha;4;7;7;1;0.6000;0.6000;;;;MELÃO
VANTIGO. SHAMAN;AZOXYSTROBIN;FUNGICIDA;IV;AZUL;II;500g\kg;- Oidio - Mildio;128 g\ha;KG;H;600 - 1000 L;5;7;7;1;6;5;;;;MELÃO
VERANGO PRIME;FLUOPIRAM;NEMATICIDA;V;AZUL;III;500 g/L;-Nematoide-das-galhas (Meloidogyne incognita);0,75 a 1,0 L/há;LT;H;200 - 1000 L/ha;1;NA;ND;1;0,9;0,4;0,3;NA;NA;MELÃO
VERIMARK;CIANTRANILIPROLE;INSETICIDA;NC;VERDE;III;200 g / L;- Mosca Minadora - Mosca Branca;(1) Mosca branca - 500- 750mL/ha (2) Mosca minadora - 375-500 mL/ha;LT;H;XXXX;2;7;14;1;0,4;0,3;0,07;Monitorado;NA;MELÃO
VERTIMEC 18 CE;ABAMECTINA;ACAR/INSET/NEMAT;IV;AZUL;II;18 g/L;- Mosca Minadora - Ácaro-rajado;50-100 ml / 100 L;LT;L;800 L;4;7-10;7;1;0,01;0,01;0,005;Restrito;Med - 01;MELÃO
VERTIMEC 84 SC;ABAMECTINA;ACAR/INSET/NEMAT;II;VERMELHO;III;84 g/L;- Mosca Minadora - Ácaro-rajado;100 - 160 mL/ha;LT;H;500 - 600L/ha;4;7;7;1;0,01;0,01;0,005;Restrito;Med - 01;MELÃO
VINQUO;AFIDOPIROPENO;INSETICIDA;III;AMARELO;III;100 g/L;- Pulgão - Mosca Branca;Pulgão: 100 mL/há Mosca branca: 350 - 500 mL/há;LT;H;400 L;4;"7
Sendo
02
aplicaçõ
es p\
cada
alvo";14;1;0,01;0,05;0,01;NA;NA;MELÃO
VOLIUM TARGO;"ABAMECTINA +
CLORANTRANILIPROLE";INSETIC / ACARIC;IV;AZUL;II;"18 + 45
g/ L";- Mosca Minadora - Broca dos Frutos;(1) Minadora - 300 mL/ha (2) Broca dos frutos - 300-500 mL/ha;LT;H;500 - 800 L;3;7;7;1;0,01 + 0,3;0,01 + 0,3;"0,005 (abam)
0,2 (clor)";"Restrito /
monitorado";Med - 01;MELÃO
WARRANT 700 WG;IMIDACLOPRIDO;INSETICIDA;IV;AZUL;III;700 g/kg;- Pulgão - Trips - Mosca Branca (Mudas - logo após a emergência);(1) Pulgão - 200 g /ha (2) Trips - 200 g/ha (3) Mosca Branca - 300 g/ha;KG;H;10 a 15 ml/planta;1;ND;40;1;0,15;0,5;0,2;Restrito;Med - 02;MELÃO
ZORVEC ENCANTIA;"OXATIAPIPROLINA +
FAMOXADONA";FUNGICIDA;V;AZUL;II;"30 g/L +
300 g/L";- Míldio (Pseudoperonospora cubensis);400 mL/ha;LT;H;400 L/ha;3;10;7;1;"0.20 (oxa) + 0,01
(famoxa)";"0.15 (oxa) +
0,7 (famoxa)";"0,06 (Oxa) + 0,15
(famox)";NA / NA;NA / NA;MELÃO
